# Couch-coop metadata, one row per game id (CL3). Blank fields are not yet known,
# never a claim of zero: CL21's validator is what refuses a record still missing one.
#
# max_players  players on a single console, the whole point of the list
# screen       split | shared | pass    (split-screen, one shared view, pass-the-controller)
# scope        campaign | side | versus (full campaign, side modes only, versus only)
id,max_players,screen,scope
lovers-in-a-dangerous-spacetime,4,shared,campaign
madden-nfl-21,2,shared,versus
madden-nfl-22,2,shared,versus
madden-nfl-23,2,shared,versus
magicka,4,shared,campaign
mereks-market,4,shared,campaign
mighty-goose,2,shared,campaign
minecraft-dungeons,4,shared,campaign
minigolf,,,
mortal-kombat-11,2,shared,side
mother-russia-bleeds,4,shared,campaign
moving-out,4,shared,campaign
nba-2k21,4,shared,versus
nba-2k22,4,shared,versus
nba-2k23,4,shared,versus
neon-chrome,4,shared,campaign
nhl-21,,shared,versus
nhl-22,4,shared,versus
nidhogg-2,2,shared,versus
nine-parchments,4,shared,campaign
nobody-saves-the-world,2,shared,campaign
omega-strike,,,
orcs-must-die,,,
out-of-space-couch-edition,4,shared,campaign
outbreak-endless-nightmares,2,split,campaign
outbreak-epidemic,2,split,campaign
outbreak-the-new-nightmare,2,split,campaign
outward-definitive-edition,2,split,campaign
overcooked-2,4,shared,campaign
overcooked-all-you-can-eat,4,shared,campaign
overruled,4,shared,versus
pang-adventures,2,shared,campaign
paprium,2,shared,campaign
phogs,2,shared,campaign
pode,2,shared,campaign
portal-knights,2,split,campaign
puyo-puyo-tetris-2,4,shared,versus
quake,4,split,campaign
raging-justice,2,shared,campaign
rayman-legends,4,shared,campaign
returnal,,,
rico,2,split,campaign
river-city-girls-2,4,shared,campaign
rogue-legacy-2,,,
rugby-22,2,shared,versus
runner,,,
sackboy-a-big-adventure,4,shared,campaign
salt-and-sacrifice,2,shared,campaign
salt-and-sanctuary,2,shared,campaign
samurai-gunn-2,4,shared,versus
scott-pilgrim-vs-the-world-the-game-complete-edition,4,shared,campaign
sea-of-stars,3,shared,campaign
secret-of-mana,3,shared,campaign
shing,4,shared,campaign
skeletal-avenger,4,shared,campaign
snipperclips-cut-it-out-together,,,
sonic-origins-plus,2,shared,campaign
sonic-superstars,4,shared,campaign
spelunky,4,shared,campaign
spelunky-2,4,shared,campaign
spidersaurs,2,shared,campaign
stardew-valley,4,split,campaign
steredenn-binary-stars,2,shared,campaign
street-fighter-v-champion-edition,2,shared,versus
streets-of-rage-4,4,shared,campaign
super-blood-hockey,4,shared,versus
super-bomberman-r,4,shared,versus
super-bomberman-r-online,,,
tetris-effect,2,shared,versus
the-angry-4,4,split,side
the-binding-of-isaac-repentance,4,shared,campaign
the-dark-pictures-anthology-house-of-ashes,5,pass,campaign
the-house-of-the-dead-remake,2,shared,campaign
the-king-of-fighters-xv,2,shared,versus
the-last-oricru,2,split,campaign
the-quarry,8,pass,campaign
tiny-tinas-wonderlands,2,split,campaign
tiny-troopers-global-ops,4,split,campaign
tmnt-the-cowabunga-collection,4,shared,campaign
together,,,
tony-hawks-pro-skater-1-2,2,shared,versus
tools-up,4,shared,campaign
tower-of-guns,2,shared,campaign
towerfall-ascension,4,shared,versus
trine-4-the-nightmare-prince,4,shared,campaign
twin-robots-ultimate-edition,2,shared,campaign
ultimate-chicken-horse,4,shared,versus
ultimate-fishing-simulator-2,,,
unravel-two,2,shared,campaign
urban-flow,4,shared,campaign
viking-squad,3,shared,campaign
warhammer-40-000-shootas-blood-teef,4,shared,campaign
warhammer-chaosbane-slayer-edition,4,split,campaign
warhammer-vermintide-2,,,
we-love-katamari-reroll-royal-reverie,2,shared,side
wizard-of-legend,2,shared,campaign
worms-rumble,,,
wrc-10,2,split,versus
wrc-generations,2,split,versus
wulverblade,4,shared,campaign
wwe-2k23,4,shared,versus
yars-recharged,2,shared,campaign
zombie-vikings,4,shared,campaign
