# Cover art, one row per game id (CL6). Blank file means no packshot yet, and the
# grid falls back to the generated typographic card at assets/covers/<id>.svg.
#
# file    path to the packshot, 2:3 portrait WebP, served from this repository
# file2x  the same packshot at twice the density, for a retina screen (CL18); optional,
#         and meaningless for the generated cards, which are vector and need no second size
# source  where the image came from -- required with a file, so no cover is unattributed
id,file,file2x,source
lara-croft-and-the-guardian-of-light,assets/covers/lara-croft-and-the-guardian-of-light.webp,assets/covers/lara-croft-and-the-guardian-of-light@2x.webp,https://store.steampowered.com/app/35130/
lara-croft-and-the-temple-of-osiris,assets/covers/lara-croft-and-the-temple-of-osiris.webp,assets/covers/lara-croft-and-the-temple-of-osiris@2x.webp,https://store.steampowered.com/app/289690/
lego-marvel-super-heroes-2,assets/covers/lego-marvel-super-heroes-2.webp,assets/covers/lego-marvel-super-heroes-2@2x.webp,https://store.steampowered.com/app/647830/
lego-star-wars-the-skywalker-saga,assets/covers/lego-star-wars-the-skywalker-saga.webp,assets/covers/lego-star-wars-the-skywalker-saga@2x.webp,https://store.steampowered.com/app/920210/
little-big-planet-3,,,
llamasoft-the-jeff-minter-story,assets/covers/llamasoft-the-jeff-minter-story.webp,assets/covers/llamasoft-the-jeff-minter-story@2x.webp,https://store.steampowered.com/app/2236680/
lovers-in-a-dangerous-spacetime,assets/covers/lovers-in-a-dangerous-spacetime.webp,assets/covers/lovers-in-a-dangerous-spacetime@2x.webp,https://store.steampowered.com/app/252110/
madden-nfl-21,,,
madden-nfl-22,,,
madden-nfl-23,,,
magicka-2,assets/covers/magicka-2.webp,assets/covers/magicka-2@2x.webp,https://store.steampowered.com/app/238370/
mereks-market,assets/covers/mereks-market.webp,assets/covers/mereks-market@2x.webp,https://store.steampowered.com/app/1610860/
mighty-goose,assets/covers/mighty-goose.webp,assets/covers/mighty-goose@2x.webp,https://store.steampowered.com/app/1299360/
minecraft-dungeons,assets/covers/minecraft-dungeons.webp,assets/covers/minecraft-dungeons@2x.webp,https://store.steampowered.com/app/1672970/
mortal-kombat-11,assets/covers/mortal-kombat-11.webp,assets/covers/mortal-kombat-11@2x.webp,https://store.steampowered.com/app/976310/
mother-russia-bleeds,assets/covers/mother-russia-bleeds.webp,assets/covers/mother-russia-bleeds@2x.webp,https://store.steampowered.com/app/361300/
moving-out,assets/covers/moving-out.webp,assets/covers/moving-out@2x.webp,https://store.steampowered.com/app/996770/
nba-2k21,,,
nba-2k22,,,
nba-2k23,,,
neon-chrome,assets/covers/neon-chrome.webp,assets/covers/neon-chrome@2x.webp,https://store.steampowered.com/app/428750/
nhl-21,,,
nhl-22,,,
nidhogg-2,assets/covers/nidhogg-2.webp,assets/covers/nidhogg-2@2x.webp,https://store.steampowered.com/app/535520/
nine-parchments,assets/covers/nine-parchments.webp,assets/covers/nine-parchments@2x.webp,https://store.steampowered.com/app/471550/
nobody-saves-the-world,assets/covers/nobody-saves-the-world.webp,assets/covers/nobody-saves-the-world@2x.webp,https://store.steampowered.com/app/1432050/
out-of-space-couch-edition,assets/covers/out-of-space-couch-edition.webp,assets/covers/out-of-space-couch-edition@2x.webp,https://store.steampowered.com/app/400080/
outbreak-endless-nightmares,assets/covers/outbreak-endless-nightmares.webp,assets/covers/outbreak-endless-nightmares@2x.webp,https://store.steampowered.com/app/1419350/
outbreak-epidemic,assets/covers/outbreak-epidemic.webp,assets/covers/outbreak-epidemic@2x.webp,https://store.steampowered.com/app/1082220/
outbreak-the-new-nightmare,assets/covers/outbreak-the-new-nightmare.webp,assets/covers/outbreak-the-new-nightmare@2x.webp,https://store.steampowered.com/app/644480/
outward-definitive-edition,assets/covers/outward-definitive-edition.webp,assets/covers/outward-definitive-edition@2x.webp,https://store.steampowered.com/app/794260/
overcooked-2,assets/covers/overcooked-2.webp,assets/covers/overcooked-2@2x.webp,https://store.steampowered.com/app/728880/
overcooked-all-you-can-eat,assets/covers/overcooked-all-you-can-eat.webp,assets/covers/overcooked-all-you-can-eat@2x.webp,https://store.steampowered.com/app/1243830/
overruled,assets/covers/overruled.webp,assets/covers/overruled@2x.webp,https://store.steampowered.com/app/297740/
pang-adventures,assets/covers/pang-adventures.webp,assets/covers/pang-adventures@2x.webp,https://store.steampowered.com/app/415150/
paprium,,,
phogs,assets/covers/phogs.webp,assets/covers/phogs@2x.webp,https://store.steampowered.com/app/850320/
pode,assets/covers/pode.webp,assets/covers/pode@2x.webp,https://store.steampowered.com/app/944080/
portal-knights,assets/covers/portal-knights.webp,assets/covers/portal-knights@2x.webp,https://store.steampowered.com/app/374040/
puyo-puyo-tetris-2,assets/covers/puyo-puyo-tetris-2.webp,assets/covers/puyo-puyo-tetris-2@2x.webp,https://store.steampowered.com/app/1259790/
quake,assets/covers/quake.webp,assets/covers/quake@2x.webp,https://store.steampowered.com/app/2310/
raging-justice,assets/covers/raging-justice.webp,assets/covers/raging-justice@2x.webp,https://store.steampowered.com/app/384200/
rayman-legends,,,
rico,assets/covers/rico.webp,assets/covers/rico@2x.webp,https://store.steampowered.com/app/656700/
river-city-girls-2,assets/covers/river-city-girls-2.webp,assets/covers/river-city-girls-2@2x.webp,https://store.steampowered.com/app/1920480/
rugby-22,assets/covers/rugby-22.webp,assets/covers/rugby-22@2x.webp,https://store.steampowered.com/app/1475850/
sackboy-a-big-adventure,assets/covers/sackboy-a-big-adventure.webp,assets/covers/sackboy-a-big-adventure@2x.webp,https://store.steampowered.com/app/1599660/
salt-and-sacrifice,assets/covers/salt-and-sacrifice.webp,assets/covers/salt-and-sacrifice@2x.webp,https://store.steampowered.com/app/1437400/
salt-and-sanctuary,assets/covers/salt-and-sanctuary.webp,assets/covers/salt-and-sanctuary@2x.webp,https://store.steampowered.com/app/283640/
samurai-gunn-2,assets/covers/samurai-gunn-2.webp,assets/covers/samurai-gunn-2@2x.webp,https://store.steampowered.com/app/1397790/
scott-pilgrim-vs-the-world-the-game-complete-edition,assets/covers/scott-pilgrim-vs-the-world-the-game-complete-edition.webp,assets/covers/scott-pilgrim-vs-the-world-the-game-complete-edition@2x.webp,https://store.steampowered.com/app/2215260/
sea-of-stars,assets/covers/sea-of-stars.webp,assets/covers/sea-of-stars@2x.webp,https://store.steampowered.com/app/1244090/
secret-of-mana,assets/covers/secret-of-mana.webp,assets/covers/secret-of-mana@2x.webp,https://store.steampowered.com/app/637670/
shing,assets/covers/shing.webp,assets/covers/shing@2x.webp,https://store.steampowered.com/app/1103730/
skeletal-avenger,assets/covers/skeletal-avenger.webp,assets/covers/skeletal-avenger@2x.webp,https://store.steampowered.com/app/1277500/
sonic-origins-plus,assets/covers/sonic-origins-plus.webp,assets/covers/sonic-origins-plus@2x.webp,https://store.steampowered.com/app/1794960/
sonic-superstars,assets/covers/sonic-superstars.webp,assets/covers/sonic-superstars@2x.webp,https://store.steampowered.com/app/2022670/
spelunky,assets/covers/spelunky.webp,assets/covers/spelunky@2x.webp,https://store.steampowered.com/app/239350/
spelunky-2,assets/covers/spelunky-2.webp,assets/covers/spelunky-2@2x.webp,https://store.steampowered.com/app/418530/
spidersaurs,assets/covers/spidersaurs.webp,assets/covers/spidersaurs@2x.webp,https://store.steampowered.com/app/1191620/
stardew-valley,assets/covers/stardew-valley.webp,assets/covers/stardew-valley@2x.webp,https://store.steampowered.com/app/413150/
steredenn-binary-stars,assets/covers/steredenn-binary-stars.webp,assets/covers/steredenn-binary-stars@2x.webp,https://store.steampowered.com/app/347160/
street-fighter-v-champion-edition,assets/covers/street-fighter-v-champion-edition.webp,assets/covers/street-fighter-v-champion-edition@2x.webp,https://store.steampowered.com/app/310950/
streets-of-rage-4,assets/covers/streets-of-rage-4.webp,assets/covers/streets-of-rage-4@2x.webp,https://store.steampowered.com/app/985890/
super-blood-hockey,assets/covers/super-blood-hockey.webp,assets/covers/super-blood-hockey@2x.webp,https://store.steampowered.com/app/532190/
super-bomberman-r,,,
tetris-effect,assets/covers/tetris-effect.webp,assets/covers/tetris-effect@2x.webp,https://store.steampowered.com/app/1003590/
the-angry-4,,,
the-binding-of-isaac-repentance,,,
the-dark-pictures-anthology-house-of-ashes,assets/covers/the-dark-pictures-anthology-house-of-ashes.webp,assets/covers/the-dark-pictures-anthology-house-of-ashes@2x.webp,https://store.steampowered.com/app/1281590/
the-house-of-the-dead-remake,assets/covers/the-house-of-the-dead-remake.webp,assets/covers/the-house-of-the-dead-remake@2x.webp,https://store.steampowered.com/app/1694600/
the-king-of-fighters-xv,assets/covers/the-king-of-fighters-xv.webp,assets/covers/the-king-of-fighters-xv@2x.webp,https://store.steampowered.com/app/1498570/
the-last-oricru,assets/covers/the-last-oricru.webp,assets/covers/the-last-oricru@2x.webp,https://store.steampowered.com/app/1663640/
the-quarry,assets/covers/the-quarry.webp,assets/covers/the-quarry@2x.webp,https://store.steampowered.com/app/1577120/
tiny-tinas-wonderlands,assets/covers/tiny-tinas-wonderlands.webp,assets/covers/tiny-tinas-wonderlands@2x.webp,https://store.steampowered.com/app/1286680/
tiny-troopers-global-ops,assets/covers/tiny-troopers-global-ops.webp,assets/covers/tiny-troopers-global-ops@2x.webp,https://store.steampowered.com/app/1374350/
tmnt-the-cowabunga-collection,assets/covers/tmnt-the-cowabunga-collection.webp,assets/covers/tmnt-the-cowabunga-collection@2x.webp,https://store.steampowered.com/app/1659600/
tony-hawks-pro-skater-1-2,assets/covers/tony-hawks-pro-skater-1-2.webp,assets/covers/tony-hawks-pro-skater-1-2@2x.webp,https://store.steampowered.com/app/2395210/
tools-up,assets/covers/tools-up.webp,assets/covers/tools-up@2x.webp,https://store.steampowered.com/app/1004490/
tower-of-guns,assets/covers/tower-of-guns.webp,assets/covers/tower-of-guns@2x.webp,https://store.steampowered.com/app/266110/
towerfall-ascension,assets/covers/towerfall-ascension.webp,assets/covers/towerfall-ascension@2x.webp,https://store.steampowered.com/app/251470/
trine-4-the-nightmare-prince,assets/covers/trine-4-the-nightmare-prince.webp,assets/covers/trine-4-the-nightmare-prince@2x.webp,https://store.steampowered.com/app/690640/
twin-robots-ultimate-edition,,,
ultimate-chicken-horse,assets/covers/ultimate-chicken-horse.webp,assets/covers/ultimate-chicken-horse@2x.webp,https://store.steampowered.com/app/386940/
unravel-two,assets/covers/unravel-two.webp,assets/covers/unravel-two@2x.webp,https://store.steampowered.com/app/1225570/
urban-flow,assets/covers/urban-flow.webp,assets/covers/urban-flow@2x.webp,https://store.steampowered.com/app/2235340/
viking-squad,assets/covers/viking-squad.webp,assets/covers/viking-squad@2x.webp,https://store.steampowered.com/app/325930/
warhammer-40-000-shootas-blood-teef,assets/covers/warhammer-40-000-shootas-blood-teef.webp,assets/covers/warhammer-40-000-shootas-blood-teef@2x.webp,https://store.steampowered.com/app/1324530/
warhammer-chaosbane-slayer-edition,assets/covers/warhammer-chaosbane-slayer-edition.webp,assets/covers/warhammer-chaosbane-slayer-edition@2x.webp,https://store.steampowered.com/app/774241/
we-love-katamari-reroll-royal-reverie,assets/covers/we-love-katamari-reroll-royal-reverie.webp,assets/covers/we-love-katamari-reroll-royal-reverie@2x.webp,https://store.steampowered.com/app/1730700/
wizard-of-legend,assets/covers/wizard-of-legend.webp,assets/covers/wizard-of-legend@2x.webp,https://store.steampowered.com/app/445980/
wrc-10,assets/covers/wrc-10.webp,assets/covers/wrc-10@2x.webp,https://store.steampowered.com/app/1462810/
wrc-generations,assets/covers/wrc-generations.webp,assets/covers/wrc-generations@2x.webp,https://store.steampowered.com/app/1953520/
wulverblade,assets/covers/wulverblade.webp,assets/covers/wulverblade@2x.webp,https://store.steampowered.com/app/587180/
wwe-2k23,assets/covers/wwe-2k23.webp,assets/covers/wwe-2k23@2x.webp,https://store.steampowered.com/app/1942660/
yars-recharged,assets/covers/yars-recharged.webp,assets/covers/yars-recharged@2x.webp,https://store.steampowered.com/app/2019990/
zombie-vikings,assets/covers/zombie-vikings.webp,assets/covers/zombie-vikings@2x.webp,https://store.steampowered.com/app/337480/
